date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:12	53871/53871	---M-Z	200	added ('OK')	text/html	etag:%223f40c7502a94affc8c927c5d368c8680-ssl-df%22	https://watson-vcard.netlify.com/index-dark.html	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/index-dark.html	(from )
18:19:12	1208/1208	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2002%20Jan%202020%2012:12:48%20GMT	http://primary/resume	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/primary/resume.1.delayed	(from )
18:19:13	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1535465260-ssl	https://watson-vcard.netlify.com/robots.txt		(from )
18:19:13	1270/1270	---M-Z	200	added ('OK')	text/css	etag:%224be90064a480e9b2c00e6d08ff86ad41-ssl-df%22	https://watson-vcard.netlify.com/css/plugins.css	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/css/plugins.css	(from https://watson-vcard.netlify.com/index-dark.html)
18:19:14	37280/37280	---M-Z	200	added ('OK')	text/css	etag:%22e781baf1e35277bf0e4ce901da643457-ssl-df%22	https://watson-vcard.netlify.com/css/style-dark.css	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/css/style-dark.css	(from https://watson-vcard.netlify.com/index-dark.html)
18:19:14	4541/4541	---M-Z	200	added ('OK')	text/css	etag:%22aec2d9c037aa70b09e82ad4a340d05bd-ssl-df%22	https://watson-vcard.netlify.com/css/style-demo.css	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/css/style-demo.css	(from https://watson-vcard.netlify.com/index-dark.html)
18:19:15	2559/2559	---M-Z	200	added ('OK')	text/css	etag:%22f6b36b7c76e1b14a8b73f0e6520e9957-ssl-df%22	https://watson-vcard.netlify.com/css/blue-color.css	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/css/blue-color.css	(from https://watson-vcard.netlify.com/index-dark.html)
18:19:15	9174/9174	---M-Z	200	added ('OK')	application/javascript	etag:%2279256fedd805bfa20375acc9739484d5-ssl-df%22	https://watson-vcard.netlify.com/js/modernizr.js	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/js/modernizr.js	(from https://watson-vcard.netlify.com/index-dark.html)
18:19:15	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227d7fb5eb2c57486de64f7ad020b0aef1-ssl%22	https://watson-vcard.netlify.com/img/favicon.ico	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/img/favicon.ico	(from https://watson-vcard.netlify.com/index-dark.html)
18:19:15	2558/2558	---M-Z	200	added ('OK')	text/css	etag:%22b7fe18c31860873e0017d6c1cd88dece-ssl-df%22	https://watson-vcard.netlify.com/css/red-color.css	C:/Users/ridoan.anik/Desktop/SomeOne%20Resume/My%20Portfolio/watson-vcard.netlify.com/css/red-color.css	(from https://watson-vcard.netlify.com/index-dark.html)
